deployID,tag_Type,prh_Name,lunge_Name,prey_type,latitude,longitude
bp160728-25,CATS,bp160728-25 10Hzprh.mat,bp160728-25prh10_lunges.mat,krill,36.80097526,-121.979187
bp180828-44,CATS,bp180828-44 10Hzprh.mat,bp180828-44lunges.mat,krill,36.4135,-121.9821667
bp180830-53,CATS,bp180830-53 10Hzprh.mat,bp180830-53prh10_lunges.mat,krill,36.4865,-122.0046667
bw140722-2e,CATS,bw140722-2e 10Hzprh.mat,bw140722-2eprh10_lunges.mat,krill,38.0648,-123.3614
bw140806-2,CATS,bw140806-2 10Hzprh.mat,bw140806-2lunges.mat,krill,33.6274,-118.2978
bw150823-6,CATS,bw150823-6 10Hzprh.mat,bw150823-6LUNGES.mat,krill,33.4707,-118.8624
bw160727-10,CATS,bw160727-10 10Hzprh.mat,bw160727-10prh10_lunges.mat,krill,36.8512,-121.9597
bw170619-38c,CATS,bw170619-38c 10Hzprh.mat,bw170619-38clunges.mat,krill,34.1317,-119.6602
bw170813-41,CATS,bw170813-41 10Hzprh.mat,bw170813-41prh10_lunges.mat,krill,36.8077,-122.0774
bw170813-42,CATS,bw170813-42 10Hzprh.mat,bw170813-42prh10_lunges.mat,krill,36.8045,-122.0715
bw170813-44,CATS,bw170813-44 10Hzprh.mat,bw170813-44prh10_lunges.mat,krill,36.7717,-122.0059
bw170814-30,CATS,bw170814-30 10Hzprh.mat,bw170814-30prh10_lunges.mat,krill,36.8075,-122.0346
bw170814-31,CATS,bw170814-31 10Hzprh.mat,bw170814-31lunges.mat,krill,36.8714,-122.1936
bw170814-40,CATS,bw170814-40 10Hzprh.mat,bw170814-40prh10_lunges.mat,krill,36.8639,-122.1931
bw170814-50,CATS,bw170814-50 10Hzprh.mat,bw170814-50prh10_lunges.mat,krill,36.8809,-122.2108
bw170814-51,CATS,bw170814-51 10Hzprh.mat,bw170814-51prh10_lunges.mat,krill,36.807,-122.0379
bw170815-21,CATS,bw170815-21 10Hzprh.mat,bw170815-21prh10_lunges.mat,krill,36.811,-122.0851
bw170815-28,CATS,bw170815-28 10Hzprh.mat,bw170815-28prh10_lunges.mat,krill,36.8072,-122.0817
bw170815-42,CATS,bw170815-42 10Hzprh.mat,bw170815-42prh10_lunges.mat,krill,36.7985,-122.0665
bw170815-43,CATS,bw170815-43 10Hzprh.mat,bw170815-43prh10_lunges.mat,krill,36.8015,-122.075
bw170816-23,CATS,bw170816-23 10Hzprh.mat,bw170816-23prh10_lunges.mat,krill,36.8004,-122.075
bw170816-27,CATS,bw170816-27 10Hzprh.mat,bw170816-27prh10_lunges.mat,krill,36.8321,-122.157
bw170816-41,CATS,bw170816-41 10Hzprh.mat,bw170816-41prh10_lunges.mat,krill,36.8676,-122.1906
bw170816-42,CATS,bw170816-42 10Hzprh.mat,bw170816-42prh10_lunges.mat,krill,36.849,-122.1624
bw170816-44,CATS,bw170816-44 10Hzprh.mat,bw170816-44prh10_lunges.mat,krill,36.8027,-122.073
bw170816-51,CATS,bw170816-51 10Hzprh.mat,bw170816-51prh10_lunges.mat,krill,36.87455214,-122.1990584
bw180827-46,CATS,bw180827-46 10Hzprh.mat,bw180827-46lunges.mat,krill,36.89866667,-122.264
bw180827-49,CATS,bw180827-49 10Hzprh.mat,bw180827-49lunges.mat,krill,36.91833333,-122.2905
bw180827-52,CATS,bw180827-52 10Hzprh.mat,bw180827-52lunges.mat,krill,36.79916667,-122.091
bw180827-53,CATS,bw180827-53 10Hzprh.mat,bw180827-53lunges.mat,krill,36.90366667,-122.2681667
bw180828-48b,CATS,bw180828-48b 10Hzprh.mat,bw180828-48blunges.mat,krill,36.78266667,-122.0543333
bw180828-49,CATS,bw180828-49 10Hzprh.mat,bw180828-49 lunges.mat,krill,36.41833333,-121.9786667
bw180829-30,CATS,bw180829-30 10Hzprh.mat,bw180829-30lunges.mat,krill,36.42833333,-121.9781667
bw180829-42,CATS,bw180829-42 10Hzprh.mat,bw180829-42lunges.mat,krill,36.82444,-122.1183
bw180829-47,CATS,bw180829-47 10Hzprh.mat,bw180829-47lunges.mat,krill,36.41883333,-121.9808333
bw180830-40,CATS,bw180830-40 10Hzprh.mat,bw180830-40lunges.mat,krill,36.8015,-122.1308333
bw180830-42,CATS,bw180830-42 10Hzprh.mat,bw180830-42lunges.mat,krill,36.79783333,-122.1223333
bw180830-46,CATS,bw180830-46 10Hzprh.mat,bw180830-46lunges.mat,krill,36.40533333,-121.9846667
bw180830-48,CATS,bw180830-48 10Hzprh.mat,bw180830-48lunges.mat,krill,36.39816667,-121.9895
bw180830-49,CATS,bw180830-49 10Hzprh.mat,bw180830-49lunges.mat,krill,36.81166667,-122.1383333
bw180830-52a,CATS,bw180830-52a 10Hzprh.mat,bw180830-52alunges.mat,krill,36.80583333,-122.1301667
bw180830-52b,CATS,bw180830-52b 10Hzprh.mat,bw180830-52blunges.mat,krill,36.8025,-122.1308333
bw180904-44,CATS,bw180904-44 10Hzprh.mat,bw180904-44lunges.mat,krill,36.80433333,-122.0886667
bw180904-48,CATS,bw180904-48 10Hzprh.mat,bw180904-48lunges.mat,krill,36.79916667,-122.0911667
bw180904-52,CATS,bw180904-52 10Hzprh.mat,bw180904-52lunges.mat,krill,36.804,-122.08
bw180905-42,CATS,bw180905-42 10Hzprh.mat,bw180905-42lunges.mat,krill,36.7955,-122.1103333
bw180905-49,CATS,bw180905-49 10Hzprh.mat,bw180905-49lunges.mat,krill,36.79583333,-122.1063333
bw180905-53,CATS,bw180905-53 10Hzprh.mat,bw180905-53lunges.mat,krill,36.8015,-122.0755
mn140815-2,CATS,mn140815-2 10Hzprh.mat,mn140815-2lunges.mat,fish,36.8089,-121.842
mn140815-3,CATS,mn140815-3 10Hzprh.mat,mn140815-3lunges.mat,fish,36.81059722,-121.8202944
mn151011-6,CATS,mn151011-6 10Hzprh.mat,mn151011-6prh10_lunges.mat,krill,36.79764477,-121.8335938
mn151012-7,CATS,mn151012-7 10Hzprh.mat,mn151012-7lunges.mat,fish,36.82,-121.9022
mn160419-8,CATS,mn160419-8 10Hzprh.mat,mn160419-8prh10_lunges.mat,krill,36.81216369,-122.0014118
mn160429-37,CATS,mn160429-37 10Hzprh.mat,mn160429-37prh10_lunges.mat,krill,36.8064,-121.8377
mn160725-36b,CATS,mn160725-36b 10Hzprh.mat,mn160725-36bprh10_lunges.mat,krill,36.85,-121.9429
mn160727-11,CATS,mn160727-11 10Hzprh.mat,mn160727-11prh10_lunges.mat,krill,36.8534,-121.9682
mn161006-11,CATS,mn161006-11 10Hzprh.mat,mn161006-11prh10_lunges.mat,fish,36.63566044,-121.845001
mn161117-10,CATS,mn161117-10 10Hzprh.mat,mn161117-10prh10_lunges.mat,fish,36.8106,-121.8449
mn161117-20,CATS,mn161117-20 10Hzprh.mat,mn161117-20lunges.mat,fish,36.8108,-121.8652
mn170410-20,CATS,mn170410-20 10Hzprh.mat,mn170410-20prh10_lunges.mat,krill,36.794,-121.8301
mn170807-40,CATS,mn170807-40 10Hzprh.mat,mn170807-40lunges.mat,fish,34.3546,-119.7184
mn170808-42,CATS,mn170808-42 10Hzprh.mat,mn170808-42prh10_lunges.mat,fish,34.2937,-119.8994
mn170809-41,CATS,mn170809-41 10Hzprh.mat,mn170809-41prh10_lunges.mat,fish,34.3386,-120.0659
mn170809-43,CATS,mn170809-43 10Hzprh.mat,mn170809-43prh10_lunges.mat,fish,34.3043,-120.0239
mn170809-44,CATS,mn170809-44 10Hzprh.mat,mn170809-44lunges.mat,fish,34.3014,-120.0189
mn170809-51,CATS,mn170809-51 10Hzprh.mat,mn170809-51lunges.mat,fish,34.3507,-120.0054
mn170810-30,CATS,mn170810-30 10Hzprh.mat,mn170810-30lunges.mat,fish,34.3808,-120.1279
mn170810-40,CATS,mn170810-40 10Hzprh.mat,mn170810-40prh10_lunges.mat,fish,34.3431,-120.1345
mn170815-10,CATS,mn170815-10 10Hzprh.mat,mn170815-10prh10_lunges.mat,krill,36.8042,-122.0845
mn170817-30,CATS,mn170817-30 10Hzprh.mat,mn170817-30prh10_lunges.mat,fish,36.8016,-121.8112
mn170817-43,CATS,mn170817-43 10Hzprh.mat,mn170817-43prh10_lunges.mat,fish,36.7982,-121.8135
mn170817-50,CATS,mn170817-50 10Hzprh.mat,mn170817-50prh10_lunges.mat,fish,36.8013,-121.8126
mn170817-51,CATS,mn170817-51 10Hzprh.mat,mn170817-51lunges.mat,fish,36.803,-121.8051
mn180423-40,CATS,mn180423-40 10Hzprh.mat,mn180423-40lunges.mat,fish,36.76653333,-121.8645167
mn180423-43,CATS,mn180423-43 10Hzprh.mat,mn180423-43lunges.mat,fish,36.80183333,-121.8006667
mn180424-11,CATS,mn180424-11 10Hzprh.mat,mn180424-11lunges.mat,fish,36.80533333,-121.8034667
mn180424-30,CATS,mn180424-30 10Hzprh.mat,mn180424-30lunges.mat,fish,36.80383333,-121.797
mn180425-23,CATS,mn180425-23 10Hzprh.mat,mn180425-23lunges.mat,krill,36.75442,-121.88177
mn180425-40,CATS,mn180425-40 10Hzprh.mat,mn180425-40lunges.mat,krill,36.74446,-121.89673
mn180607-42,CATS,mn180607-42 10Hzprh.mat,mn180607-42lunges.mat,fish,36.7988,-121.8186
mn180607-44,CATS,mn180607-44 10Hzprh.mat,mn180607-44lunges.mat,fish,36.8009,-121.8182
mn180607-45,CATS,mn180607-45 10Hzprh.mat,mn180607-45lunges.mat,fish,36.7995,-121.8127
mn180608-47,CATS,mn180608-47 10Hzprh.mat,mn180608-47lunges.mat,fish,36.80380633,-121.8036632
mn180705-47,CATS,mn180705-47 10Hzprh.mat,mn180705-47lunges.mat,krill,48.4625,-125.0559
mn180807-49,CATS,mn180807-49 10Hzprh.mat,mn180807-49lunges.mat,fish,36.79918846,-121.8244489
